id,status,priority,area,title,detail,dependencies,required_harness,assigned_agent,acceptance_criteria,risk_flag,notes,issue_ids,commit_hash,created_at,started_at,completed_at
BK-048,todo,P1,qa,핵심 사용자 흐름 테스트,"모델 탐색 -> 상세 -> 위험 확인 -> 선택 흐름을 테스트한다.",BK-033,frontend-harness.md,qa-tester,"테스트 결과와 실패 상태가 기록된다.",none,,,,"2026-07-09",,
BK-049,todo,P1,qa,운영자 심사 흐름 테스트,"모델 등록 -> 심사 -> 승인/반려 흐름을 테스트한다.",BK-030,backend-harness.md,qa-tester,"권한과 audit log가 확인된다.",security_review,,,,"2026-07-09",,
BK-050,todo,P1,review,하네스 위반 1차 리뷰,"초기 구현이 핵심 하네스를 벗어나지 않았는지 검토한다.",BK-048;BK-049,core-harness.md,reviewer,"위반 항목이 있으면 Issues에 기록된다.",none,,,,"2026-07-09",,
BK-051,todo,P2,analytics,모델 조회 이벤트,"모델 목록/상세 조회 이벤트를 기록한다.",BK-031,backend-harness.md,backend-developer,"개인정보 최소 수집 원칙이 적용된다.",security_review,,,,"2026-07-09",,
BK-052,todo,P2,analytics,모델 선택 이벤트,"사용자 모델 선택 이벤트를 기록한다.",BK-034,backend-harness.md,backend-developer,"모델 버전과 선택 시점이 포함된다.",security_review,,,,"2026-07-09",,
BK-053,todo,P2,admin,신고 기능,"사용자가 모델 설명이나 성과 표시 문제를 신고할 수 있게 한다.",BK-031,risk-compliance-harness.md,frontend-developer,"신고가 운영자 검토 대상으로 기록된다.",legal_review,,,,"2026-07-09",,
BK-054,todo,P2,admin,신고 처리 화면,"운영자가 신고를 확인하고 상태를 바꿀 수 있게 한다.",BK-053,frontend-harness.md;backend-harness.md,frontend-developer,"처리 이력이 남는다.",security_review,,,,"2026-07-09",,
BK-055,todo,P2,creator,제작자 대시보드,"제작자가 자신의 모델 상태와 심사 결과를 볼 수 있게 한다.",BK-026,frontend-harness.md,frontend-developer,"다른 제작자 모델은 볼 수 없다.",security_review,,,,"2026-07-09",,
BK-056,todo,P2,creator,모델 설명 수정 요청,"제작자가 live 모델 설명 수정을 요청할 수 있게 한다.",BK-044,model-marketplace-harness.md,backend-developer,"수정 시 재심사 상태가 된다.",security_review,,,,"2026-07-09",,
BK-057,todo,P2,security,RBAC 테스트,"역할별 API 접근 테스트를 작성한다.",BK-021,security-harness.md,qa-tester,"권한 없는 접근이 차단된다.",security_review,,,,"2026-07-09",,
BK-058,todo,P2,security,입력 검증 테스트,"모델 등록 필드 입력 검증 테스트를 작성한다.",BK-028,security-harness.md,qa-tester,"잘못된 입력이 저장되지 않는다.",security_review,,,,"2026-07-09",,
BK-059,todo,P2,docs,도메인 용어 문서,"InvestmentModel, TradeIntent, Mandate 등 용어를 정리한다.",BK-006,naming-harness.md,planner,"새 팀원이 용어를 이해할 수 있다.",none,,,,"2026-07-09",,
BK-060,todo,P2,automation,10분 automation 프롬프트 작성,"Codex가 Sheets를 확인하고 다음 작업을 진행하는 thread automation 프롬프트를 만든다.",BK-019,automation-harness.md,project-recorder,"중단 조건과 기록 규칙이 포함된다.",none,,,,"2026-07-09",,
BK-061,todo,P2,git,자동 push 실패 처리 절차,"push 거절 시 pull --rebase와 충돌 해결 절차를 문서화한다.",BK-020,automation-harness.md,project-recorder,"자동화 중 충돌 처리 기준이 있다.",none,,,,"2026-07-09",,
BK-062,todo,P2,ci,GitHub Actions 기본 CI,"lint/test/build를 실행하는 GitHub Actions 워크플로를 추가한다.",BK-002,automation-harness.md,backend-developer,"PR 또는 push에서 검증이 실행된다.",none,,,,"2026-07-09",,
BK-063,todo,P2,ci,Codex Action 검토,"Codex GitHub Action으로 리뷰/수정 자동화를 붙일지 검토한다.",BK-062,automation-harness.md,planner,"사용 범위와 위험이 기록된다.",security_review,,,,"2026-07-09",,
BK-064,todo,P2,deploy,AWS 배포 방식 조사,"AWS 배포 후보를 조사한다.",BK-062,backend-harness.md,planner,"초기 배포 후보와 비용/복잡도가 정리된다.",none,,,,"2026-07-09",,
BK-065,todo,P2,deploy,환경 변수 전략,"개발/스테이징/프로덕션 환경 변수 관리 방식을 정의한다.",BK-064,security-harness.md,backend-developer,"비밀값이 코드에 포함되지 않는다.",security_review,,,,"2026-07-09",,
BK-066,todo,P2,model-runtime,모델 샌드박스 조사,"외부 모델 실행을 격리하는 방법을 조사한다.",BK-042,security-harness.md,planner,"격리 후보와 위험이 정리된다.",security_review,,,,"2026-07-09",,
BK-067,todo,P2,model-runtime,모델 업로드 보안 정책,"모델 파일 업로드 전 보안 정책을 정의한다.",BK-066,security-harness.md,planner,"허용 포맷과 차단 기준이 있다.",security_review,,,,"2026-07-09",,
BK-068,todo,P2,market-data,Mock market data,"초기 개발용 mock 가격 데이터를 만든다.",BK-040,backend-harness.md,backend-developer,"실데이터와 mock이 명확히 구분된다.",none,,,,"2026-07-09",,
BK-069,todo,P2,news,Mock news traffic,"초기 개발용 mock 뉴스/트래픽 데이터를 만든다.",BK-041,backend-harness.md,backend-developer,"모델 의사결정 데모에 사용 가능하다.",none,,,,"2026-07-09",,
BK-070,todo,P2,decision,Mock decision engine,"mock 데이터로 TradeIntent를 생성하는 데모 엔진을 만든다.",BK-068;BK-069;BK-038,backend-harness.md,backend-developer,"실제 주문 없이 의사결정 흐름을 볼 수 있다.",financial_operation,,,,"2026-07-09",,
BK-071,todo,P2,ui,운용 로그 타임라인,"모델이 만든 의사결정과 검증 결과를 타임라인으로 보여준다.",BK-070,frontend-harness.md,frontend-developer,"데이터 출처와 시간이 표시된다.",none,,,,"2026-07-09",,
BK-072,todo,P2,ui,포트폴리오 mock 화면,"사용자 선택 모델과 mock 잔고/포지션을 보여준다.",BK-036;BK-070,frontend-harness.md,frontend-developer,"실제 자산이 아님을 명확히 표시한다.",financial_operation,,,,"2026-07-09",,
BK-073,todo,P2,compliance,고위험 모델 고지,"레버리지/파생상품/집중투자 모델에 추가 고지를 표시한다.",BK-046,risk-compliance-harness.md,frontend-developer,"사용자가 고위험성을 확인한다.",legal_review,,,,"2026-07-09",,
BK-074,todo,P2,compliance,성과 표시 문구 검토,"성과 표시 문구가 수익 보장처럼 보이지 않는지 검토한다.",BK-045,risk-compliance-harness.md,reviewer,"문제 문구가 Issues에 기록된다.",legal_review,,,,"2026-07-09",,
BK-075,todo,P2,qa,시각 회귀 기준,"주요 화면 스크린샷 검증 기준을 만든다.",BK-016;BK-017,design-harness.md,qa-tester,"레이아웃 깨짐을 확인할 수 있다.",none,,,,"2026-07-09",,
BK-076,todo,P2,sheets,Done 이동 자동화 설계,"완료 작업을 Done으로 옮기는 로직 또는 운영 절차를 만든다.",BK-019,automation-harness.md,project-recorder,"완료 기록 누락이 줄어든다.",none,,,,"2026-07-09",,
BK-077,todo,P2,sheets,Issues 재확인 로직,"해결되지 않은 Issues를 다음 체크리스트에 반영하는 규칙을 만든다.",BK-019,automation-harness.md,project-recorder,"해결된 문제는 반복 체크하지 않는다.",none,,,,"2026-07-09",,
BK-078,todo,P2,docs,커밋 메시지 예시,"한국어 커밋 메시지 예시를 작업 유형별로 만든다.",BK-020,automation-harness.md,project-recorder,"feat/fix/chore 등 규칙이 있다.",none,,,,"2026-07-09",,
BK-079,todo,P2,review,보안 1차 리뷰,"권한, 입력 검증, 비밀값, audit log를 검토한다.",BK-057;BK-058,security-harness.md,reviewer,"보안 findings가 정리된다.",security_review,,,,"2026-07-09",,
BK-080,todo,P2,review,제품 방향성 리뷰,"사용자 투자 성향 설정 UI가 생기지 않았는지 검토한다.",BK-050,core-harness.md;product-harness.md,reviewer,"하네스 위반이 없다.",none,,,,"2026-07-09",,
BK-081,todo,P3,ux,온보딩 문구 초안,"사용자가 모델 기반 위임 구조를 이해하도록 온보딩 문구를 만든다.",BK-031,design-harness.md;risk-compliance-harness.md,uiux-designer,"투자 권유처럼 보이지 않는다.",legal_review,,,,"2026-07-09",,
BK-082,todo,P3,ux,모델 비교 화면,"여러 모델의 시장, 위험, 성과 지표를 비교하는 화면을 만든다.",BK-045;BK-046,frontend-harness.md,frontend-developer,"위험 지표가 성과와 함께 표시된다.",none,,,,"2026-07-09",,
BK-083,todo,P3,creator,모델 성과 업로드,"제작자가 성과 자료를 제출하는 흐름을 설계한다.",BK-026,model-marketplace-harness.md,planner,"검증되지 않은 성과 표시를 방지한다.",legal_review,,,,"2026-07-09",,
BK-084,todo,P3,admin,성과 자료 검토,"운영자가 성과 자료를 검토하는 화면을 만든다.",BK-083,risk-compliance-harness.md,frontend-developer,"승인 전 사용자 노출이 제한된다.",legal_review,,,,"2026-07-09",,
BK-085,todo,P3,notification,심사 결과 알림,"제작자에게 심사 결과를 알리는 알림 구조를 만든다.",BK-030,backend-harness.md,backend-developer,"승인/반려/수정요청이 전달된다.",none,,,,"2026-07-09",,
BK-086,todo,P3,notification,모델 상태 변경 알림,"사용자가 선택한 모델의 중지/정지 상태를 알린다.",BK-047,backend-harness.md,backend-developer,"중요 상태 변경이 사용자에게 전달된다.",legal_review,,,,"2026-07-09",,
BK-087,todo,P3,admin,모델 강제 중지,"운영자가 위험 모델을 즉시 중지할 수 있게 한다.",BK-018,risk-compliance-harness.md;security-harness.md,backend-developer,"강제 중지 이력이 audit log에 남는다.",financial_operation,,,,"2026-07-09",,
BK-088,todo,P3,portfolio,리밸런싱 기록,"모델 리밸런싱 의사결정을 기록한다.",BK-070,backend-harness.md,backend-developer,"왜 변경되었는지 근거가 남는다.",financial_operation,,,,"2026-07-09",,
BK-089,todo,P3,portfolio,사용자 보유 모델 화면,"사용자가 선택한 모델과 상태를 볼 수 있게 한다.",BK-034,frontend-harness.md,frontend-developer,"모델 버전과 상태가 표시된다.",none,,,,"2026-07-09",,
BK-090,todo,P3,security,관리자 2FA 검토,"운영자 계정 2FA 필요성을 검토한다.",BK-021,security-harness.md,planner,"적용 여부가 Decisions에 기록된다.",security_review,,,,"2026-07-09",,
BK-091,todo,P3,security,웹훅 서명 검증,"향후 결제/브로커 웹훅을 위한 서명 검증 패턴을 준비한다.",BK-065,security-harness.md,backend-developer,"테스트 가능한 검증 유틸이 있다.",security_review,,,,"2026-07-09",,
BK-092,todo,P3,docs,운영자 매뉴얼 초안,"모델 심사와 신고 처리 기준을 문서화한다.",BK-054,risk-compliance-harness.md,planner,"운영자가 일관되게 처리할 수 있다.",legal_review,,,,"2026-07-09",,
BK-093,todo,P3,docs,제작자 가이드 초안,"모델 제작자가 등록 시 알아야 할 필수 설명 기준을 문서화한다.",BK-027,model-marketplace-harness.md,planner,"모델 등록 실패를 줄인다.",none,,,,"2026-07-09",,
BK-094,todo,P3,qa,모바일 반응형 테스트,"모델 목록/상세/심사 화면의 모바일 레이아웃을 테스트한다.",BK-031;BK-029,design-harness.md,qa-tester,"주요 텍스트가 겹치지 않는다.",none,,,,"2026-07-09",,
BK-095,todo,P3,qa,접근성 기본 점검,"키보드 이동, 라벨, 대비를 점검한다.",BK-031,frontend-harness.md,qa-tester,"기본 접근성 문제가 기록된다.",none,,,,"2026-07-09",,
BK-096,todo,P3,infra,로그 수집 전략,"앱 로그, audit log, 에러 로그의 분리 전략을 정한다.",BK-014,backend-harness.md;security-harness.md,backend-developer,"민감정보가 로그에 남지 않는다.",security_review,,,,"2026-07-09",,
BK-097,todo,P3,infra,에러 모니터링 후보,"Sentry 등 에러 모니터링 도구를 검토한다.",BK-096,security-harness.md,planner,"민감정보 처리 기준이 포함된다.",security_review,,,,"2026-07-09",,
BK-098,todo,P3,infra,스테이징 환경 계획,"실제 투자 기능 전 스테이징 환경 기준을 만든다.",BK-064,automation-harness.md,planner,"운영/개발 데이터가 분리된다.",security_review,,,,"2026-07-09",,
BK-099,todo,P3,legal,약관/고지 placeholder,"법률 전문가가 채울 약관/위험고지 placeholder를 만든다.",BK-009,risk-compliance-harness.md,planner,"Codex가 임의 법률문구를 확정하지 않는다.",legal_review,,,,"2026-07-09",,
BK-100,todo,P3,review,릴리즈 전 통합 리뷰,"P0-P2 완료 후 제품/보안/컴플라이언스/UX 통합 리뷰를 수행한다.",BK-080;BK-079,risk-compliance-harness.md,reviewer,"출시 가능/불가 항목이 정리된다.",legal_review,,,,"2026-07-09",,
